Time,FZ,C3,CZ,C4,PZ,PO7,OZ,PO8,AccX,AccY,AccZ,Gyro1,Gyro2,Gyro3,Battery,Counter,Validation
23090.6958792,220709.984375,228246.453125,683968.625,335880.84375,-709063.625,330652.3125,236518.84375,-708296.3125,-0.135009765625,0.99609375,0.093017578125,-0.5493163466453552,1.6784666776657104,-0.1831054538488388,66.66667175292969,1397910.0,1.0
23090.6984574,220481.734375,227995.9375,683685.0,335571.84375,-709069.6875,330427.46875,236261.34375,-708301.9375,-0.135498046875,0.996337890625,0.098876953125,-0.6103515028953552,1.7089842557907104,-0.0610351525247097,66.66667175292969,1397911.0,1.0
23090.7011569,220852.140625,228307.96875,684016.25,335883.15625,-709052.875,330698.46875,236592.59375,-708285.3125,-0.13427734375,0.9951171875,0.099609375,-0.8239745497703552,1.8615721464157104,0.0915527269244194,66.66667175292969,1397912.0,1.0
23090.7041951,221024.078125,228497.6875,684224.5,336104.8125,-709057.25,330883.25,236790.640625,-708289.875,-0.134033203125,0.994384765625,0.09521484375,-0.9155272841453552,1.9226073026657104,0.1831054538488388,66.66667175292969,1397913.0,1.0
23090.7042172,221091.046875,228582.359375,684323.125,336225.5,-709062.125,330986.15625,236868.515625,-708294.6875,-0.133544921875,0.993896484375,0.0947265625,-0.8850097060203552,1.8920897245407104,0.1220703050494194,66.66667175292969,1397914.0,1.0
23090.712221,220723.390625,228265.59375,683990.75,335912.125,-709073.875,330733.5,236541.90625,-708306.25,-0.13232421875,0.992919921875,0.096435546875,-0.9460448622703552,1.9836424589157104,0.2441406100988388,66.66667175292969,1397915.0,1.0
23090.7154482,220495.59375,228017.75,683695.5625,335605.65625,-709076.0625,330512.21875,236286.921875,-708308.125,-0.133056640625,0.994140625,0.097900390625,-0.9460448622703552,1.9531248807907104,0.3662109076976776,66.66667175292969,1397916.0,1.0
23090.7154641,220857.421875,228319.421875,684021.8125,335908.1875,-709066.3125,330773.5625,236608.875,-708298.8125,-0.132568359375,0.994140625,0.09814453125,-1.0681151151657104,2.105712652206421,0.3662109076976776,66.66667175292969,1397917.0,1.0
23090.7172336,221025.140625,228504.671875,684226.8125,336123.21875,-709069.4375,330950.0625,236801.90625,-708302.125,-0.132080078125,0.992919921875,0.098876953125,-1.1291502714157104,2.166747808456421,0.3662109076976776,66.66667175292969,1397918.0,1.0
23090.7311532,221086.75,228588.796875,684321.875,336239.46875,-709063.0,331045.34375,236875.578125,-708296.0,-0.1318359375,0.9921875,0.09326171875,-1.1596678495407104,2.319335699081421,0.3662109076976776,66.66667175292969,1397919.0,1.0
23090.7335997,220718.03125,228273.375,683989.4375,335928.3125,-709077.625,330794.3125,236550.046875,-708310.4375,-0.130615234375,0.9892578125,0.09521484375,-1.1291502714157104,2.502441167831421,0.5187987685203552,66.66667175292969,1397920.0,1.0
23090.7367684,220492.90625,228028.84375,683690.125,335633.375,-709074.1875,330577.9375,236303.8125,-708306.8125,-0.12841796875,0.989990234375,0.09521484375,-1.0986326932907104,2.716064214706421,0.4577636420726776,66.66667175292969,1397921.0,1.0
23090.7368009,220855.1875,228334.796875,684005.0,335940.375,-709063.0,330839.28125,236628.1875,-708296.0625,-0.126953125,0.988037109375,0.095947265625,-1.0986326932907104,2.868652105331421,0.3967284858226776,66.66667175292969,1397922.0,1.0
23090.7384823,221022.640625,228515.484375,684211.0625,336160.5,-709062.75,331016.75,236823.890625,-708295.4375,-0.126708984375,0.987548828125,0.097412109375,-1.1291502714157104,2.990722417831421,0.3662109076976776,66.66667175292969,1397923.0,1.0
23090.7472499,221088.890625,228597.03125,684312.25,336284.96875,-709061.5625,331120.09375,236907.765625,-708294.8125,-0.125,0.98779296875,0.098876953125,-1.0986326932907104,3.326415777206421,0.3356933295726776,66.66667175292969,1397924.0,1.0
23090.7517608,220723.75,228285.53125,683988.0625,335978.75,-709067.8125,330873.25,236587.234375,-708301.125,-0.124267578125,0.986572265625,0.09814453125,-1.0986326932907104,3.509521245956421,0.2441406100988388,66.66667175292969,1397925.0,1.0
23090.7517936,220482.890625,228019.0,683682.0625,335662.59375,-709073.25,330638.03125,236321.15625,-708306.0,-0.1240234375,0.986572265625,0.099853515625,-0.9765624403953552,3.723144292831421,0.1525878757238388,66.66667175292969,1397926.0,1.0
23090.757397,220845.796875,228320.3125,684002.8125,335961.40625,-709060.9375,330892.90625,236638.28125,-708293.8125,-0.12353515625,0.9873046875,0.101318359375,-0.7934569716453552,4.089354991912842,0.0915527269244194,66.66667175292969,1397927.0,1.0
23090.7668397,221010.9375,228496.078125,684210.0,336176.25,-709062.1875,331063.875,236827.5625,-708295.25,-0.120849609375,0.9853515625,0.100341796875,-0.7324218153953552,4.486083507537842,0.0610351525247097,66.66667175292969,1397928.0,1.0
23090.7668761,221080.671875,228579.046875,684314.0625,336302.5,-709058.875,331164.8125,236909.8125,-708291.6875,-0.117431640625,0.987548828125,0.102294921875,-0.7629393935203552,4.882812023162842,-0.0610351525247097,66.66667175292969,1397929.0,1.0
23090.7685373,220716.25,228266.390625,683981.125,335991.25,-709068.875,330910.09375,236582.59375,-708301.4375,-0.115234375,0.9892578125,0.103759765625,-0.6408690810203552,5.340575695037842,-0.1525878757238388,66.66667175292969,1397930.0,1.0
23090.7788053,220479.578125,228003.09375,683689.9375,335676.375,-709069.0625,330676.90625,236319.28125,-708301.5,-0.117919921875,0.9892578125,0.1015625,-0.5187987685203552,5.676269054412842,-0.2136230319738388,66.66667175292969,1397931.0,1.0
23090.781778,220842.484375,228298.40625,684014.125,335973.5625,-709058.25,330928.84375,236633.8125,-708291.125,-0.117431640625,0.986328125,0.102294921875,-0.4577636420726776,6.164550304412842,-0.1831054538488388,66.66667175292969,1397932.0,1.0
23090.7818117,221006.734375,228468.453125,684214.4375,336187.96875,-709058.0625,331098.03125,236820.859375,-708291.5,-0.119140625,0.988037109375,0.100830078125,-0.4272460639476776,6.469726085662842,-0.2136230319738388,66.66667175292969,1397933.0,1.0
23090.7860808,221077.890625,228549.375,684306.1875,336302.65625,-709049.0625,331187.34375,236893.09375,-708282.3125,-0.12255859375,0.98876953125,0.10302734375,-0.3662109076976776,6.805419445037842,-0.2746581733226776,66.66667175292969,1397934.0,1.0
23090.7898837,220719.546875,228246.28125,683977.25,335995.09375,-709069.875,330935.28125,236569.4375,-708303.125,-0.12255859375,0.989990234375,0.10400390625,-0.2441406100988388,7.049560070037842,-0.2441406100988388,66.66667175292969,1397935.0,1.0
23090.7960517,220477.171875,227977.875,683674.875,335679.84375,-709075.9375,330699.25,236302.5625,-708309.1875,-0.126220703125,0.990478515625,0.10400390625,-0.1831054538488388,7.293700695037842,-0.1220703050494194,66.66667175292969,1397936.0,1.0
23090.8003979,220834.265625,228263.359375,684003.0,335976.5,-709056.8125,330949.40625,236617.359375,-708290.6875,-0.129150390625,0.989501953125,0.103759765625,-0.1831054538488388,7.476806163787842,-0.1831054538488388,66.66667175292969,1397937.0,1.0
23090.8004306,221008.25,228444.234375,684205.5,336193.3125,-709059.5,331117.96875,236807.53125,-708293.3125,-0.131103515625,0.990966796875,0.1025390625,-0.1831054538488388,7.629394054412842,-0.2136230319738388,66.66667175292969,1397938.0,1.0
23090.8087401,221076.734375,228524.15625,684298.125,336309.5625,-709051.1875,331205.40625,236882.28125,-708285.25,-0.133544921875,0.990478515625,0.099609375,-0.2136230319738388,7.812499523162842,-0.2441406100988388,66.66667175292969,1397939.0,1.0
23090.8130298,220717.40625,228214.8125,683966.875,336000.65625,-709060.75,330950.84375,236558.265625,-708294.0,-0.136474609375,0.989501953125,0.100830078125,-0.2746581733226776,7.781981945037842,-0.2136230319738388,66.66667175292969,1397940.0,1.0
23090.8130616,220481.46875,227955.890625,683665.9375,335699.15625,-709067.0,330724.375,236303.8125,-708299.1875,-0.13623046875,0.99169921875,0.103271484375,-0.2441406100988388,7.751464366912842,-0.2746581733226776,66.66667175292969,1397941.0,1.0
23090.8210063,220835.96875,228243.78125,683984.0625,335992.4375,-709052.0625,330970.6875,236616.734375,-708285.25,-0.138427734375,0.991455078125,0.10205078125,-0.2441406100988388,7.690429210662842,-0.2746581733226776,66.66667175292969,1397942.0,1.0
23090.827981,221010.578125,228427.6875,684188.8125,336205.21875,-709041.8125,331137.4375,236804.3125,-708275.3125,-0.14111328125,0.9921875,0.103759765625,-0.3356933295726776,7.659911632537842,-0.3662109076976776,66.66667175292969,1397943.0,1.0
23090.8280127,221080.484375,228509.40625,684285.5625,336323.40625,-709048.25,331230.34375,236880.140625,-708281.9375,-0.14306640625,0.991455078125,0.104248046875,-0.3967284858226776,7.385253429412842,-0.3356933295726776,66.66667175292969,1397944.0,1.0
23090.8297544,220715.53125,228197.734375,683950.625,336006.71875,-709067.9375,330968.46875,236547.8125,-708301.5,-0.144775390625,0.9921875,0.105224609375,-0.3967284858226776,7.202147960662842,-0.2136230319738388,66.66667175292969,1397945.0,1.0
23090.8391248,220479.5,227943.640625,683644.875,335692.8125,-709075.75,330731.71875,236281.90625,-708308.9375,-0.14697265625,0.989990234375,0.1064453125,-0.4272460639476776,6.866454601287842,-0.2136230319738388,66.66667175292969,1397946.0,1.0
23090.8391563,220837.75,228235.8125,683970.1875,335989.75,-709056.4375,330982.78125,236598.5,-708290.0625,-0.15087890625,0.98779296875,0.1083984375,-0.2441406100988388,6.622313976287842,-0.0915527269244194,66.66667175292969,1397947.0,1.0
23090.8409551,221009.40625,228410.609375,684175.6875,336203.4375,-709055.0625,331150.78125,236787.15625,-708288.4375,-0.150390625,0.987060546875,0.10791015625,-0.4272460639476776,6.225585460662842,0.0,66.66667175292969,1397948.0,1.0
23090.8524313,221080.75,228496.625,684269.0,336322.15625,-709058.0,331240.34375,236862.078125,-708291.4375,-0.153564453125,0.986572265625,0.10546875,-0.4272460639476776,5.920409679412842,-0.0915527269244194,66.66667175292969,1397949.0,1.0
23090.8555191,220720.453125,228193.984375,683937.75,336011.71875,-709072.8125,330983.84375,236535.46875,-708306.25,-0.154541015625,0.986572265625,0.10791015625,-0.3356933295726776,5.401610851287842,0.0,66.66667175292969,1397950.0,1.0
23090.855552,220479.765625,227932.46875,683625.375,335704.53125,-709081.5,330755.59375,236279.59375,-708314.375,-0.155517578125,0.987548828125,0.10986328125,-0.3051757514476776,5.004882335662842,0.0,66.66667175292969,1397951.0,1.0
23090.8574121,220840.4375,228234.828125,683944.0,336009.15625,-709066.125,331015.84375,236605.921875,-708299.375,-0.155517578125,0.988037109375,0.109375,-0.2746581733226776,4.516601085662842,0.03051757626235485,66.66667175292969,1397952.0,1.0
23090.8637173,221008.515625,228419.734375,684150.875,336221.3125,-709058.5,331184.28125,236795.640625,-708292.75,-0.15625,0.98828125,0.109619140625,-0.1525878757238388,4.119872570037842,0.0,66.66667175292969,1397953.0,1.0
23090.8678601,221075.84375,228506.71875,684251.375,336341.03125,-709056.0,331280.40625,236874.140625,-708289.875,-0.15673828125,0.988037109375,0.109619140625,-0.1220703050494194,3.784179449081421,-0.0610351525247097,66.66667175292969,1397954.0,1.0
23090.8678914,220708.46875,228191.390625,683922.375,336031.84375,-709066.1875,331025.875,236546.5625,-708299.4375,-0.157958984375,0.98681640625,0.108154296875,-0.0610351525247097,3.234863042831421,0.0915527269244194,66.66667175292969,1397955.0,1.0
23090.8798444,220472.703125,227934.515625,683617.75,335721.34375,-709072.125,330793.125,236280.75,-708305.0,-0.15771484375,0.986083984375,0.1083984375,0.0915527269244194,2.777099370956421,0.1831054538488388,66.66667175292969,1397956.0,1.0
23090.8890887,220836.5,228241.265625,683930.6875,336022.03125,-709055.1875,331052.78125,236600.921875,-708288.625,-0.156005859375,0.986083984375,0.107421875,0.2136230319738388,2.349853277206421,0.2746581733226776,66.66667175292969,1397957.0,1.0
23090.889105,221002.703125,228421.515625,684134.8125,336234.90625,-709050.5,331226.3125,236791.984375,-708283.8125,-0.152587890625,0.98388671875,0.10595703125,0.3356933295726776,2.044677495956421,0.3356933295726776,66.66667175292969,1397958.0,1.0
23090.8911875,221062.78125,228497.6875,684227.8125,336339.6875,-709059.9375,331309.5625,236855.015625,-708293.8125,-0.15087890625,0.985107421875,0.107421875,0.4577636420726776,1.5869139432907104,0.3662109076976776,66.66667175292969,1397959.0,1.0
23090.9160257,220717.5,228213.5625,683914.0625,336043.46875,-709069.0,331072.625,236542.625,-708302.5,-0.146484375,0.981689453125,0.107177734375,0.5798339247703552,1.2207030057907104,0.4272460639476776,66.66667175292969,1397960.0,1.0
23090.9186215,220479.140625,227959.375,683610.5,335736.0,-709065.25,330848.125,236284.421875,-708298.3125,-0.145263671875,0.98193359375,0.107666015625,0.6408690810203552,1.0986326932907104,0.5798339247703552,66.66667175292969,1397961.0,1.0
23090.9211499,220832.65625,228248.78125,683917.4375,336028.4375,-709047.5,331099.4375,236597.25,-708280.875,-0.140625,0.98095703125,0.10791015625,0.7934569716453552,0.8239745497703552,0.5798339247703552,66.66667175292969,1397962.0,1.0
23090.923706,221007.625,228438.953125,684129.4375,336245.625,-709041.375,331278.71875,236793.234375,-708274.6875,-0.137451171875,0.98193359375,0.1064453125,0.9460448622703552,0.7019042372703552,0.6713866591453552,66.66667175292969,1397963.0,1.0
23090.9261663,221067.4375,228519.59375,684219.9375,336353.90625,-709042.5,331367.84375,236860.90625,-708276.0625,-0.136474609375,0.98193359375,0.1044921875,0.9765624403953552,0.5798339247703552,0.7629393935203552,66.66667175292969,1397964.0,1.0
23090.9286662,220710.4375,228223.75,683889.5,336041.78125,-709067.5625,331117.3125,236534.125,-708300.375,-0.130615234375,0.982177734375,0.10546875,1.1596678495407104,0.5187987685203552,0.9765624403953552,66.66667175292969,1397965.0,1.0
23090.9311714,220477.4375,227971.625,683596.5625,335729.5625,-709076.0625,330889.78125,236272.078125,-708308.5625,-0.12890625,0.98388671875,0.105224609375,1.1901854276657104,0.5798339247703552,1.0375975370407104,66.66667175292969,1397966.0,1.0
23090.9336576,220830.6875,228264.421875,683932.9375,336019.4375,-709068.25,331141.03125,236581.0625,-708301.4375,-0.126708984375,0.9853515625,0.105224609375,1.2512205839157104,0.5798339247703552,1.0986326932907104,66.66667175292969,1397967.0,1.0
23090.9361057,220994.921875,228441.359375,684134.5625,336226.40625,-709066.8125,331308.9375,236764.171875,-708300.25,-0.125732421875,0.986328125,0.1064453125,1.2817381620407104,0.7629393935203552,1.1291502714157104,66.66667175292969,1397968.0,1.0
23090.939195,221067.078125,228529.875,684236.375,336344.875,-709064.625,331408.4375,236840.25,-708298.125,-0.126708984375,0.98876953125,0.10205078125,1.4038084745407104,0.8850097060203552,1.2207030057907104,66.66667175292969,1397969.0,1.0
23090.9392116,220704.796875,228220.359375,683903.125,336033.90625,-709071.9375,331158.71875,236515.078125,-708305.1875,-0.128662109375,0.987060546875,0.101318359375,1.4343260526657104,1.0070799589157104,1.2512205839157104,66.66667175292969,1397970.0,1.0
23090.9416297,220458.65625,227947.03125,683610.625,335707.65625,-709075.4375,330921.4375,236242.75,-708308.3125,-0.12841796875,0.98828125,0.10205078125,1.4038084745407104,0.9765624403953552,1.0986326932907104,66.66667175292969,1397971.0,1.0
23090.9416461,220816.015625,228238.59375,683942.9375,335995.09375,-709063.4375,331171.34375,236552.71875,-708296.6875,-0.129150390625,0.9892578125,0.1025390625,1.5563963651657104,1.0375975370407104,0.9460448622703552,66.66667175292969,1397972.0,1.0
23090.9436072,220984.375,228416.328125,684144.625,336202.71875,-709066.375,331337.625,236736.015625,-708299.75,-0.1298828125,0.989013671875,0.102783203125,1.4953612089157104,0.9460448622703552,0.7629393935203552,66.66667175292969,1397973.0,1.0
23090.9474448,221052.765625,228497.953125,684241.125,336315.90625,-709067.0,331429.0,236806.375,-708300.0,-0.130126953125,0.9873046875,0.099853515625,1.5258787870407104,1.0986326932907104,0.4882812201976776,66.66667175292969,1397974.0,1.0
23090.9565925,220695.140625,228192.28125,683910.0625,336002.625,-709076.5625,331176.875,236480.21875,-708309.1875,-0.12890625,0.986328125,0.10009765625,1.5258787870407104,1.2207030057907104,0.2136230319738388,66.66667175292969,1397975.0,1.0
